"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","AGE","SEX","RACE","MARST","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,3122,0,24660,0,740,47,1,200,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,3122,0,24660,0,740,46,2,200,1,0,2,99,99,1,1,4,7,2
2012,31,37,56,2,3122,0,24660,0,740,17,2,200,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,500,71,1,200,3,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,1521,37119,16740,1,841,42,2,300,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,1521,37119,16740,1,841,44,1,100,1,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,1521,37119,16740,1,841,3,1,802,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,841,8,2,802,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,40,2,200,6,0,2,99,99,1,2,3,7,1
2012,31,37,56,2,6642,37183,39580,0,841,29,1,100,6,0,2,99,99,1,1,1,2,1
2012,31,37,56,2,6642,37183,39580,0,841,28,1,100,6,0,2,99,99,1,1,1,2,2
2012,31,37,56,2,6641,0,20500,0,841,33,2,100,6,0,2,99,99,1,2,6,5,1
2012,31,37,56,2,6641,0,20500,0,841,5,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,300,25,2,200,6,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,6642,37183,39580,0,300,5,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,470,60,1,100,4,100,2,99,99,1,2,7,5,1
2012,31,37,56,2,6641,0,20500,0,842,49,2,651,1,0,2,99,99,1,2,9,5,1
2012,31,37,56,2,6641,0,20500,0,842,52,1,651,1,0,2,99,99,1,2,9,5,2
2012,31,37,56,2,3122,0,24660,0,430,63,2,100,4,0,2,99,99,1,1,97,5,1
2012,31,37,56,2,6642,37183,39580,0,843,42,1,100,1,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,6642,37183,39580,0,843,43,2,100,1,0,2,99,99,1,1,97,7,2
2012,31,37,56,2,6642,37183,39580,0,843,8,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,841,80,1,100,5,0,2,99,99,1,1,5,7,1
2012,31,37,56,2,1521,37119,16740,1,820,58,2,100,5,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,37119,16740,1,470,23,1,100,6,0,2,99,99,1,1,9,3,1
2012,31,37,56,2,3122,0,24660,0,740,47,1,200,4,0,2,99,99,1,2,1,6,1
2012,31,37,56,2,6641,0,20500,0,470,39,1,100,1,410,98,99,99,99,99,99,98,9
2012,31,37,56,2,6641,0,20500,0,470,33,2,100,1,410,98,99,99,99,99,99,98,9
2012,31,37,56,2,6641,0,20500,0,470,3,1,100,9,400,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,470,10,2,100,9,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,710,44,2,651,4,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,841,52,1,100,1,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,1521,37119,16740,1,841,52,2,100,1,0,2,99,99,1,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,841,21,1,100,6,0,2,99,99,2,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,830,71,1,100,1,300,2,99,99,2,2,3,7,1
2012,31,37,56,2,1521,37119,16740,1,830,71,2,100,1,300,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,730,61,2,100,3,0,2,99,99,2,2,9,2,1
2012,31,37,56,2,6642,37183,39580,0,843,46,1,100,1,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,46,2,200,1,0,2,99,99,1,1,97,5,2
2012,31,37,56,2,6642,37183,39580,0,843,18,2,200,6,0,2,99,99,1,1,1,2,2
2012,31,37,56,2,6642,37183,39580,0,210,24,1,200,6,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,210,53,2,200,6,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,6642,37183,39580,0,210,62,1,200,6,0,98,99,99,99,99,99,97,2
2012,31,37,56,2,6641,0,20500,0,842,51,1,100,1,0,2,99,99,1,2,1,7,1
