"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,3122,0,24660,0,710,1,4033.5914,29,2,200,6,0,0,2,99,99,1,2,4,5,1
2012,31,37,56,2,1521,37119,16740,1,842,1,3662.0462,39,2,100,1,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,1521,37119,16740,1,842,2,3850.4529,48,1,100,1,0,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,470,1,3005.3319,80,2,100,5,0,0,2,99,99,1,2,97,2,1
2012,31,37,56,2,3122,0,24660,0,470,1,3394.9675,51,2,200,6,0,0,2,99,99,1,1,1,6,1
2012,31,37,56,2,3122,0,24660,0,470,2,3527.0835,25,2,200,6,0,0,2,99,99,1,1,4,5,2
2012,31,37,56,2,3122,0,24660,0,470,3,4655.3722,8,2,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,470,4,3058.1775,10,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,740,1,3479.2244,43,1,200,4,0,0,2,99,99,1,2,97,5,1
2012,31,37,56,2,1521,37119,16740,1,843,1,3533.152,62,1,100,1,0,0,2,99,99,1,1,9,7,1
2012,31,37,56,2,1521,37119,16740,1,843,2,3934.5465,64,2,100,1,0,0,2,99,99,1,1,9,7,2
2012,31,37,56,2,3121,37067,49180,0,600,1,2833.0329,29,2,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,2,3812.6453,34,1,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,3,2264.8632,11,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,4,2177.7968,12,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,5,2177.7968,13,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,1,3640.1338,50,2,100,1,0,0,2,99,99,1,2,1,3,1
2012,31,37,56,2,1521,37119,16740,1,830,2,3522.2416,52,1,100,1,0,0,2,99,99,1,2,1,3,1
2012,31,37,56,2,1521,0,16740,0,841,1,3016.2424,42,1,100,1,0,0,2,99,99,1,2,97,1,2
2012,31,37,56,2,1521,0,16740,0,841,2,3708.3061,35,2,100,1,0,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,1521,0,16740,0,841,3,4368.3594,0,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,841,4,4792.4093,3,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,841,5,4935.1237,6,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,1,3183.6183,46,1,100,1,3,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,2,3060.3903,45,2,100,1,3,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,3,2750.2099,10,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,4,3390.3313,21,1,100,6,3,410,99,99,99,99,99,99,99,9
